REPEL,Repel
CHARIZARDITEX,Charizardite X
CHARIZARDITEY,Charizardite Y
BLASTOISINITE,Blastoisinite
BEEDRILLITE,Beedrillite
PIDGEOTITE,Pidgeotite
ALAKAZITE,Alakazite
SLOWBRONITE,Slowbronite
GENGARITE,Gengarite
KANGASKHANITE,Kangaskhanite
PINSIRITE,Pinsirite
GYARADOSITE,Gyaradosite
AERODACTYLITE,Aerodactylite
MEWTWONITEX,Mewtwonite X
MEWTWONITEY,Mewtwonite Y
AMPHAROSITE,Ampharosite
STEELIXITE,Steelixite
SCIZORITE,Scizorite
HERACRONITE,Heracronite
HOUNDOOMINITE,Houndoominite
TYRANITARITE,Tyranitarite
SCEPTILITE,Sceptilite
BLAZIKENITE,Blazikenite
SWAMPERTITE,Swampertite
GARDEVOIRITE,Gardevoirite
SABLENITE,Sablenite
MAWILITE,Mawilite
AGGRONITE,Aggronite
MEDICHAMITE,Medichamite
MANECTITE,Manectite
SHARPEDONITE,Sharpedonite
CAMERUPTITE,Cameruptite
ALTARIANITE,Altarianite
BANETTITE,Banettite
ABSOLITE,Absolite
GLALITITE,Glalitite
SALAMENCITE,Salamencite
METAGROSSITE,Metagrossite
LATIASITE,Latiasite
LATIOSITE,Latiosite
LOPUNNITE,Lopunnite
GARCHOMPITE,Garchompite
LUCARIONITE,Lucarionite
ABOMASITE,Abomasite
GALLADITE,Galladite
AUDINITE,Audinite
DIANCITE,Diancite
REDORB,Red Orb
BLUEORB,Blue Orb
POTION,Potion
SUPERPOTION,Super Potion
HYPERPOTION,Hyper Potion
MAXPOTION,Max Potion
FULLRESTORE,Full Restore
SACREDASH,Sacred Ash
AWAKENING,Awakening
ANTIDOTE,Antidote
BURNHEAL,Burn Heal
PARALYZEHEAL,Paralyze Heal
ICEHEAL,Ice Heal
FULLHEAL,Full Heal
PEWTERCRUNCHIES,Pewter Crunchies
RAGECANDYBAR,Rage Candy Bar
LAVACOOKIE,Lava Cookie
OLDGATEAU,Old Gateau
CASTELIACONE,Casteliacone
LUMIOSEGALETTE,Lumiose Galette
SHALOURSABLE,Shalour Sable
BIGMALASADA,Big Malasada
REVIVE,Revive
MAXREVIVE,Max Revive
BERRYJUICE,Berry Juice
SWEETHEART,Sweet Heart
FRESHWATER,Fresh Water
SODAPOP,Soda Pop
LEMONADE,Lemonade
MOOMOOMILK,Moomoo Milk
ENERGYPOWDER,Energy Powder
ENERGYROOT,Energy Root
HEALPOWDER,Heal Powder
REVIVALHERB,Revival Herb
MAXHONEY,Max Honey
ETHER,Ether
MAXETHER,Max Ether
ELIXIR,Elixir
MAXELIXIR,Max Elixir
PPUP,PP Up
PPMAX,PP Max
HPUP,HP Up
PROTEIN,Protein
IRON,Iron
CALCIUM,Calcium
ZINC,Zinc
CARBOS,Carbos
HEALTHFEATHER,Health Feather
MUSCLEFEATHER,Muscle Feather
RESISTFEATHER,Resist Feather
GENIUSFEATHER,Genius Feather
CLEVERFEATHER,Clever Feather
SWIFTFEATHER,Swift Feather
LONELYMINT,Lonely Mint
ADAMANTMINT,Adamant Mint
NAUGHTYMINT,Naughty Mint
BRAVEMINT,Brave Mint
BOLDMINT,Bold Mint
IMPISHMINT,Impish Mint
LAXMINT,Lax Mint
RELAXEDMINT,Relaxed Mint
MODESTMINT,Modest Mint
MILDMINT,Mild Mint
RASHMINT,Rash Mint
QUIETMINT,Quiet Mint
CALMMINT,Calm Mint
GENTLEMINT,Gentle Mint
CAREFULMINT,Careful Mint
SASSYMINT,Sassy Mint
TIMIDMINT,Timid Mint
HASTYMINT,Hasty Mint
JOLLYMINT,Jolly Mint
NAIVEMINT,Naive Mint
SERIOUSMINT,Serious Mint
ABILITYCAPSULE,Ability Capsule
ABILITYPATCH,Ability Patch
EXPCANDYXS,Exp. Candy XS
EXPCANDYS,Exp. Candy S
EXPCANDYM,Exp. Candy M
EXPCANDYL,Exp. Candy L
EXPCANDYXL,Exp. Candy XL
RARECANDY,Rare Candy
MASTERBALL,Master Ball
ULTRABALL,Ultra Ball
GREATBALL,Great Ball
POKEBALL,Poké Ball
SAFARIBALL,Safari Ball
SPORTBALL,Sport Ball
NETBALL,Net Ball
DIVEBALL,Dive Ball
NESTBALL,Nest Ball
REPEATBALL,Repeat Ball
TIMERBALL,Timer Ball
LUXURYBALL,Luxury Ball
PREMIERBALL,Premier Ball
DUSKBALL,Dusk Ball
HEALBALL,Heal Ball
QUICKBALL,Quick Ball
CHERISHBALL,Cherish Ball
FASTBALL,Fast Ball
LEVELBALL,Level Ball
LUREBALL,Lure Ball
HEAVYBALL,Heavy Ball
LOVEBALL,Love Ball
FRIENDBALL,Friend Ball
MOONBALL,Moon Ball
DREAMBALL,Dream Ball
BEASTBALL,Beast Ball
TM01,TM01
TM02,TM02
TM03,TM03
TM04,TM04
TM05,TM05
TM06,TM06
TM07,TM07
TM08,TM08
TM09,TM09
TM10,TM10
TM11,TM11
TM12,TM12
TM13,TM13
TM14,TM14
TM15,TM15
TM16,TM16
TM17,TM17
TM18,TM18
TM19,TM19
TM20,TM20
TM21,TM21
TM22,TM22
TM23,TM23
TM24,TM24
TM25,TM25
TM26,TM26
TM27,TM27
TM28,TM28
TM29,TM29
TM30,TM30
TM31,TM31
TM32,TM32
TM33,TM33
TM34,TM34
TM35,TM35
TM36,TM36
TM37,TM37
TM38,TM38
TM39,TM39
TM40,TM40
TM41,TM41
TM42,TM42
TM43,TM43
TM44,TM44
TM45,TM45
TM46,TM46
TM47,TM47
TM48,TM48
TM49,TM49
TM50,TM50
TM51,TM51
TM52,TM52
TM53,TM53
TM54,TM54
TM55,TM55
TM56,TM56
TM57,TM57
TM58,TM58
TM59,TM59
TM60,TM60
TM61,TM61
TM62,TM62
TM63,TM63
TM64,TM64
TM65,TM65
TM66,TM66
TM67,TM67
TM68,TM68
TM69,TM69
TM70,TM70
TM71,TM71
TM72,TM72
TM73,TM73
TM74,TM74
TM75,TM75
TM76,TM76
TM77,TM77
TM78,TM78
TM79,TM79
TM80,TM80
TM81,TM81
TM82,TM82
TM83,TM83
TM84,TM84
TM85,TM85
TM86,TM86
TM87,TM87
TM88,TM88
TM89,TM89
TM90,TM90
TM91,TM91
TM92,TM92
TM93,TM93
TM94,TM94
TM95,TM95
TM96,TM96
TM97,TM97
TM98,TM98
TM99,TM99
TM100,TM100
CHERIBERRY,Cheri Berry
CHESTOBERRY,Chesto Berry
PECHABERRY,Pecha Berry
RAWSTBERRY,Rawst Berry
ASPEARBERRY,Aspear Berry
LEPPABERRY,Leppa Berry
ORANBERRY,Oran Berry
PERSIMBERRY,Persim Berry
LUMBERRY,Lum Berry
SITRUSBERRY,Sitrus Berry
FIGYBERRY,Figy Berry
WIKIBERRY,Wiki Berry
MAGOBERRY,Mago Berry
AGUAVBERRY,Aguav Berry
IAPAPABERRY,Iapapa Berry
RAZZBERRY,Razz Berry
BLUKBERRY,Bluk Berry
NANABBERRY,Nanab Berry
WEPEARBERRY,Wepear Berry
PINAPBERRY,Pinap Berry
POMEGBERRY,Pomeg Berry
KELPSYBERRY,Kelpsy Berry
QUALOTBERRY,Qualot Berry
HONDEWBERRY,Hondew Berry
GREPABERRY,Grepa Berry
TAMATOBERRY,Tamato Berry
CORNNBERRY,Cornn Berry
MAGOSTBERRY,Magost Berry
RABUTABERRY,Rabuta Berry
NOMELBERRY,Nomel Berry
SPELONBERRY,Spelon Berry
PAMTREBERRY,Pamtre Berry
WATMELBERRY,Watmel Berry
DURINBERRY,Durin Berry
BELUEBERRY,Belue Berry
OCCABERRY,Occa Berry
PASSHOBERRY,Passho Berry
WACANBERRY,Wacan Berry
RINDOBERRY,Rindo Berry
YACHEBERRY,Yache Berry
CHOPLEBERRY,Chople Berry
KEBIABERRY,Kebia Berry
SHUCABERRY,Shuca Berry
COBABERRY,Coba Berry
PAYAPABERRY,Payapa Berry
TANGABERRY,Tanga Berry
CHARTIBERRY,Charti Berry
KASIBBERRY,Kasib Berry
HABANBERRY,Haban Berry
COLBURBERRY,Colbur Berry
BABIRIBERRY,Babiri Berry
ROSELIBERRY,Roseli Berry
CHILANBERRY,Chilan Berry
LIECHIBERRY,Liechi Berry
GANLONBERRY,Ganlon Berry
SALACBERRY,Salac Berry
PETAYABERRY,Petaya Berry
APICOTBERRY,Apicot Berry
LANSATBERRY,Lansat Berry
STARFBERRY,Starf Berry
ENIGMABERRY,Enigma Berry
MICLEBERRY,Micle Berry
CUSTAPBERRY,Custap Berry
JABOCABERRY,Jaboca Berry
ROWAPBERRY,Rowap Berry
KEEBERRY,Kee Berry
MARANGABERRY,Maranga Berry
GRASSMAIL,Grass Mail
FLAMEMAIL,Flame Mail
BUBBLEMAIL,Bubble Mail
BLOOMMAIL,Bloom Mail
TUNNELMAIL,Tunnel Mail
STEELMAIL,Steel Mail
HEARTMAIL,Heart Mail
SNOWMAIL,Snow Mail
SPACEMAIL,Space Mail
AIRMAIL,Air Mail
MOSAICMAIL,Mosaic Mail
BRICKMAIL,Brick Mail
XATTACK,X Attack
XATTACK2,X Attack 2
XATTACK3,X Attack 3
XATTACK6,X Attack 6
XDEFENSE,X Defense
XDEFENSE2,X Defense 2
XDEFENSE3,X Defense 3
XDEFENSE6,X Defense 6
XSPATK,X Sp. Atk
XSPATK2,X Sp. Atk 2
XSPATK3,X Sp. Atk 3
XSPATK6,X Sp. Atk 6
XSPDEF,X Sp. Def
XSPDEF2,X Sp. Def 2
XSPDEF3,X Sp. Def 3
XSPDEF6,X Sp. Def 6
XSPEED,X Speed
XSPEED2,X Speed 2
XSPEED3,X Speed 3
XSPEED6,X Speed 6
XACCURACY,X Accuracy
XACCURACY2,X Accuracy 2
XACCURACY3,X Accuracy 3
XACCURACY6,X Accuracy 6
MAXMUSHROOMS,Max Mushrooms
DIREHIT,Dire Hit
DIREHIT2,Dire Hit 2
DIREHIT3,Dire Hit 3
GUARDSPEC,Guard Spec.
RESETURGE,Reset Urge
ABILITYURGE,Ability Urge
ITEMURGE,Item Urge
ITEMDROP,Item Drop
BLUEFLUTE,Blue Flute
YELLOWFLUTE,Yellow Flute
REDFLUTE,Red Flute
POKEDOLL,Poké Doll
FLUFFYTAIL,Fluffy Tail
POKETOY,Poké Toy
BICYCLE,Bicycle
OLDROD,Old Rod
GOODROD,Good Rod
SUPERROD,Super Rod
ITEMFINDER,Itemfinder
DOWSINGMACHINE,Dowsing Machine
POKERADAR,Poké Radar
TOWNMAP,Town Map
ESCAPEROPE,Escape Rope
COINCASE,Coin Case
POKEFLUTE,Poké Flute
SOOTSACK,Soot Sack
SILPHSCOPE,Silph Scope
DEVONSCOPE,Devon Scope
SQUIRTBOTTLE,Squirt Bottle
SPRAYDUCK,Sprayduck
WAILMERPAIL,Wailmer Pail
SPRINKLOTAD,Sprinklotad
GRACIDEA,Gracidea
REVEALGLASS,Reveal Glass
PRISONBOTTLE,Prison Bottle
ROTOMCATALOG,Rotom Catalog
ZYGARDECUBE,Zygarde Cube
DNASPLICERS,DNA Splicers
DNASPLICERSUSED,DNA Splicers
NSOLARIZER,N-Solarizer
NSOLARIZERUSED,N-Solarizer
NLUNARIZER,N-Lunarizer
NLUNARIZERUSED,N-Lunarizer
REINSOFUNITY,Reins of Unity
REINSOFUNITYUSED,Reins of Unity
OVALCHARM,Oval Charm
SHINYCHARM,Shiny Charm
CATCHINGCHARM,Catching Charm
EXPCHARM,Exp. Charm
MEGARING,Mega Ring
POKEMONBOXLINK,Pokémon Box Link
AURORATICKET,Aurora Ticket
OLDSEAMAP,Old Sea Map
BLACKAUGURITE,Black Augurite
PEATBLOCK,Peat Block
LINKINGCORD,Linking Cord
ADAMANTCRYSTAL,Adamant Cystal
LUSTROUSGLOBE,Lustrous Globe
LEGENDPLATE,Legend Plate
BLANKPLATE,Blank Plate
GRISEOUSCORE,Griseous Core
AUSPICIOUSARMOR,Auspicious Armor
MALICIOUSARMOR,Malicious Armor
SCROLLOFDARKNESS,Scroll of Darkness
SCROLLOFWATERS,Scroll of Waters
LEADERSCREST,Leader's Crest
BOOSTERENERGY,Booster Energy
ABILITYSHIELD,Ability Shield
CLEARAMULET,Clear Amulet
MIRRORHERB,Mirror Herb
PUNCHINGGLOVE,Punching Glove
COVERTCLOAK,Covert Cloak
LOADEDDICE,Loaded Dice
GIMMIGHOULCOIN,Gimmighoul Coin
TINYBAMBOOSHOOT,Tiny Bamboo Shoot
BIGBAMBOOSHOOT,Big Bamboo Shoot
SCARLETBOOK,Scarlet Book
VIOLETBOOK,Violet Book
HEALTHMOCHI,Health Mochi
MUSCLEMOCHI,Muscle Mochi
RESISTMOCHI,Resist Mochi
GENIUSMOCHI,Genius Mochi
CLEVERMOCHI,Clever Mochi
SWIFTMOCHI,Swift Mochi
FRESHSTARTMOCHI,Fresh Start Mochi
FAIRYFEATHER,Fairy Feather
SYRUPYAPPLE,Syrupy Apple
UNREMARKABLETEACUP,Unremarkable Teacup
MASTERPIECETEACUP,Masterpiece Teacup
WELLSPRINGMASK,Wellspring Mask
HEARTHFLAMEMASK,Hearthflame Mask
CORNERSTONEMASK,Cornerstone Mask
TEALMASK,Teal Mask
VENUSAURITEX,Venusaurite
VENUSAURITEY,Venusaurite
BLASTOISINITEX,Blastoisinite
BLASTOISINITEY,Blastoisinite
COPPERAJITE,Copperajite
DRAGONITITE,Dragonitite
HAWLUCHITE,Hawluchite
VICTREEBELITE,Victreebelite
CHESNAUGHTITE,Chesnaughtite
DELPHOXITE,Delphoxite
GRENINJITE,Greninjite
CLEFABLITE,Clefablite
STARMINITE,Starminite
MEGANIUMITE,Meganiumite
FERALIGITE,Feraligite
SKARMORITE,Skarmorite
FROSLASSITE,Froslassite
EMBOARITE,Emboarite
EXCADRITE,Excadrite
SCOLIPITE,Scolipite
EELEKTROSSITE,Eelektrossite
SCRAFTINITE,Scraftinite
CHANDELURITE,Chandelurite
PYROARITE,Pyroarite
MALAMARITE,Malamarite
BARBARACITE,Barbaracite
DRAGALGITE,Dragalgite
DRAMPANITE,Drampanite
FALINKSITE,Falinksite
ZYGARDITE,Zygardite
FLOETTITE,Floettite
GARCHOMPITEZ,Garchompite Z
ABSOLITEZ,Absolite Z
LUCARIONITEZ,Lucarionite Z
SCOVILLAINITE,Scovillainite
CRABOMINITE,Crabominite
STARAPTITE,Staraptite
GOLURKITE,Golurkite
RAICHUITEX,Raichuite X
RAICHUITEY,Raichuite Y
DARKRANITE,Darkranite
TATSUGIRINITE,Tatsugirinite
MAGEARNITE,Magearnite
GOLISOPITE,Golisopite
MEOWSTICITE,Meowsticite
HEATRANITE,Heatranite
GLIMMORANITE,Glimmoranite
BAXCALIBRITE,Baxcalibrite
CHIMECHITE,Chimechite
ZERAORITE,Zeraorite
